Symbol,Company Name,Market Cap,IPO Date,PT Diff. (%),OpInc Growth 5Y,Rev. Growth 5Y,Rev Gr. Next Y,Rev Gr. Next 5Y,OpInc Growth 3Y,Rev. Growth 3Y,Analyst Count,FCF Growth 3Y,FCF Growth 5Y,Debt Growth (5Y),Debt Growth (3Y),Oper. Margin,EBITDA Margin,ROA,ROIC,ROA (5Y),ROIC (5Y),Current Ratio,Quick Ratio,Debt / EBITDA,Z-Score,Tax / Revenue,R&D / Rev,Debt Growth (YoY),FCF Growth,Rev. Growth,Sector,Industry
ACIW,"ACI Worldwide, Inc.",5938815180,1995-02-23,-12.88%,21.06%,6.54%,7.02%,,35.87%,7.82%,6,7.18%,15.24%,-6.91%,-3.13%,22.14%,30.62%,6.90%,11.78%,3.34%,5.82%,1.56,1.35,2.05,3.77,4.15%,8.82%,-6.63%,177.37%,13.31%,Technology,Software - Infrastructure
DLTR,"Dollar Tree, Inc.",15322479840,1995-03-06,24.96%,,5.86%,3.64%,4.33%,,6.32%,20,-26.12%,-12.80%,1.04%,3.72%,-3.12%,-0.14%,-4.70%,-5.31%,3.96%,5.37%,1.01,,,2.29,-0.03%,,4.32%,-10.78%,5.65%,Consumer Staples,Discount Stores
ASML,ASML Holding N.V.,273204099421,1995-03-15,39.96%,28.84%,19.15%,16.41%,13.33%,8.42%,13.64%,8,-30.44%,27.65%,8.16%,4.55%,29.20%,33.12%,17.20%,32.39%,17.04%,31.84%,1.55,0.67,0.51,,4.86%,15.32%,3.76%,-48.47%,-1.92%,Technology,Semiconductor Equipment & Materials
DRI,"Darden Restaurants, Inc.",20800437500,1995-05-05,1.90%,9.51%,5.87%,7.85%,4.83%,15.09%,12.70%,25,5.23%,3.61%,0.47%,2.63%,11.65%,15.76%,9.20%,15.70%,6.74%,11.13%,0.35,0.11,2.95,2.57,1.24%,,-2.45%,26.04%,5.98%,Consumer Discretionary,Restaurants
TAIT,Taitron Components Incorporated,16498033,1995-05-19,,-60.12%,-9.94%,,,-81.01%,-19.43%,,-37.14%,-23.29%,,,0.30%,42.07%,7.30%,0.06%,11.40%,11.14%,8.82,6.75,,8.24,6.72%,,,-83.78%,-37.24%,Technology,Electronics & Computer Distribution
HLIT,Harmonic Inc.,1490975760,1995-05-22,18.95%,7.75%,9.60%,9.02%,,-0.88%,8.90%,6,-44.39%,86.76%,0.48%,-7.12%,3.19%,4.54%,11.40%,27.37%,2.32%,5.66%,2.08,1.44,5.34,0.20,-11.91%,19.21%,-3.12%,-19.52%,3.06%,Technology,Communication Equipment
STRT,Strattec Security Corporation,168759854,1995-05-24,,12.29%,2.02%,4.24%,,-10.18%,5.63%,,32.30%,-0.95%,-18.43%,-8.55%,3.10%,6.75%,4.50%,6.23%,1.94%,3.51%,2.18,1.14,0.36,3.82,0.72%,,,,6.58%,Consumer Discretionary,Auto Parts
RMD,ResMed Inc.,36600646680,1995-06-02,-8.59%,18.53%,12.24%,7.15%,7.84%,14.34%,12.81%,11,48.83%,22.28%,-8.22%,-3.63%,29.50%,33.80%,16.00%,18.97%,13.90%,16.99%,2.92,1.37,0.52,13.44,5.48%,6.48%,-43.15%,66.19%,9.88%,Healthcare,Medical Instruments & Supplies
PLAY,"Dave & Buster's Entertainment, Inc.",1478514906,1995-06-06,62.33%,11.63%,10.83%,6.89%,,257.65%,36.53%,8,,,11.30%,17.42%,12.58%,22.79%,3.00%,6.93%,1.64%,3.08%,0.24,0.07,5.74,1.21,1.35%,,0.57%,,1.23%,Communication Services,Entertainment
SBGI,"Sinclair, Inc.",1216825300,1995-06-06,9.72%,,-0.82%,-8.82%,-0.25%,,-18.26%,5,,,-19.54%,-30.44%,-3.00%,3.89%,-3.50%,-2.15%,3.32%,-3.58%,1.91,1.63,32.73,0.82,-2.73%,,-1.22%,,3.12%,Communication Services,Broadcasting
SCKT,"Socket Mobile, Inc.",12168432,1995-06-06,,,-0.52%,8.00%,,,-5.53%,,,,17.18%,40.97%,-13.79%,-5.42%,-4.80%,-10.16%,-0.98%,-4.65%,1.41,0.59,,-1.30,-7.97%,26.13%,8.29%,,2.94%,Technology,Computer Hardware
PAAS,Pan American Silver Corp.,8031485625,1995-06-12,9.32%,59.86%,19.01%,12.06%,,-12.76%,17.67%,5,-1.38%,,17.73%,162.68%,10.10%,28.68%,-0.70%,-1.42%,-0.14%,0.36%,2.06,0.85,1.06,2.28,8.46%,0.49%,0.75%,,32.22%,Materials,Gold
FORD,"Forward Industries, Inc.",4404280,1995-06-15,,,-5.89%,,,,-8.65%,,58.18%,,4.33%,-14.29%,2.47%,-9.95%,-20.00%,,-10.60%,-8.22%,0.86,0.80,,-0.52,0.07%,,-22.12%,-57.46%,-17.49%,Consumer Discretionary,Footwear & Accessories
WAB,Westinghouse Air Brake Technologies Corporation,34494025750,1995-06-20,-13.04%,24.44%,8.25%,5.65%,,26.96%,9.95%,10,17.31%,17.99%,-3.28%,-0.44%,15.32%,20.16%,5.60%,8.43%,2.92%,4.76%,1.30,0.60,1.93,3.84,3.24%,2.09%,-0.74%,114.93%,9.23%,Industrials,Railroads
NHTC,Natural Health Trends Corp.,63091788,1995-06-21,,,-15.74%,,,,-10.72%,,,,-3.99%,-5.87%,-2.60%,5.46%,1.20%,-1.99%,-0.22%,-1.95%,2.55,,1.25,2.54,0.83%,,-21.26%,,-5.37%,Consumer Discretionary,Internet Retail
GIC,Global Industrial Company,1080014450,1995-06-26,,5.91%,7.19%,3.66%,,1.74%,7.45%,,-18.13%,-6.35%,3.95%,2.01%,6.55%,7.14%,12.50%,17.97%,17.02%,26.21%,2.02,1.01,0.91,6.26,1.63%,,-11.94%,-68.48%,9.80%,Industrials,Industrial Distribution
TK,Teekay Corporation Ltd.,676830583,1995-07-19,,29.01%,-7.14%,,,,93.84%,,44.90%,27.05%,-59.43%,-75.51%,31.30%,19.39%,6.50%,46.24%,1.22%,8.18%,6.84,6.14,0.21,2.97,0.31%,,-76.66%,-18.72%,-14.23%,Energy,Oil & Gas Midstream
DSWL,"Deswell Industries, Inc.",42546984,1995-07-19,,,10.57%,,,,0.56%,,93.78%,,,,4.13%,18.07%,8.90%,2.74%,4.58%,2.67%,4.52,3.90,,3.17,0.33%,,,-13.32%,-5.40%,Technology,Electronic Components
WULF,TeraWulf Inc.,3044814120,1995-07-24,-13.05%,,48.94%,86.80%,,,160.02%,9,,,-20.40%,,-22.95%,20.60%,-13.20%,-7.89%,-35.98%,-12.89%,1.00,0.88,0.03,,,,-99.28%,,131.22%,Financials,Capital Markets
AUBN,"Auburn National Bancorporation, Inc.",81752580,1995-07-24,,-46.65%,-5.30%,,,-62.95%,-7.88%,,,-8.78%,,,2.21%,10.14%,0.10%,1.01%,0.78%,8.10%,,,,,-1.50%,,,-54.55%,-30.87%,Financials,Banks - Regional
APT,"Alpha Pro Tech, Ltd.",58733058,1995-07-24,,3.32%,4.88%,,,-38.55%,-11.13%,,,43.76%,24.85%,45.34%,6.32%,12.91%,5.80%,4.15%,14.54%,13.72%,19.00,9.11,1.17,5.87,1.89%,,618.15%,-33.13%,1.88%,Industrials,Building Products & Equipment
RNR,RenaissanceRe Holdings Ltd.,14913532200,1995-07-26,2.04%,40.12%,28.24%,2.83%,,,33.79%,11,38.58%,19.53%,6.95%,19.38%,36.42%,27.84%,7.10%,39.95%,1.58%,8.31%,,,0.55,,-3.62%,,2.82%,82.82%,59.52%,Financials,Insurance - Reinsurance
CIB,Bancolombia S.A.,8348612256,1995-07-26,2.72%,,,2.95%,,,,3,,,,,34.14%,38.27%,1.80%,8.69%,1.38%,5.82%,,,3.63,,8.10%,,-10.44%,425.28%,2.22%,Financials,Banks - Regional
RWT,"Redwood Trust, Inc.",949677060,1995-08-04,12.89%,-3.05%,4.37%,19.05%,,-33.40%,-20.37%,12,,,4.84%,13.73%,39.50%,39.21%,0.50%,0.52%,-0.62%,-0.51%,,,155.55,,4.92%,,43.79%,,189.80%,Real Estate,REIT - Mortgage
DIT,AMCON Distributing Company,87021187,1995-08-04,,23.14%,14.25%,,,0.29%,17.47%,,34.97%,,21.40%,35.78%,0.66%,1.01%,1.20%,3.72%,4.74%,6.29%,2.46,0.77,6.17,8.45,0.12%,,-4.90%,475.74%,6.73%,Consumer Staples,Food Distribution
CHNR,"China Natural Resources, Inc.",6048701,1995-08-07,,,,,,,,,,24.95%,-5.27%,-92.17%,,,-4.30%,-16.87%,-7.98%,-23.60%,0.03,0.03,,,,,-98.85%,,,Industrials,Pollution & Treatment Controls
WINT,"Windtree Therapeutics, Inc.",5333390,1995-08-08,3293.03%,,,,,,,1,,,-26.70%,-14.39%,,,-35.20%,-397.96%,-51.12%,-195.07%,0.27,,,,,,-6.68%,,,Healthcare,Biotechnology
EAF,GrafTech International Ltd.,525829363,1995-08-09,-12.72%,,-22.27%,6.99%,,,-25.70%,5,,,-12.51%,-6.24%,-47.63%,-35.73%,-24.90%,-28.03%,22.82%,34.85%,3.79,1.57,,-0.46,-3.29%,1.14%,0.54%,,-25.88%,Industrials,Electrical Equipment & Parts
SHO,"Sunstone Hotel Investors, Inc.",2159685750,1995-08-10,5.74%,-0.71%,-4.11%,8.44%,,,34.68%,6,,-12.30%,-4.46%,1.75%,23.30%,38.17%,4.90%,7.11%,-0.04%,1.31%,,,2.38,,0.19%,,-0.65%,27.99%,-10.00%,Real Estate,REIT - Hotel & Motel
KFRC,Kforce Inc.,1134496800,1995-08-14,11.86%,0.45%,1.21%,0.84%,,-10.55%,-2.21%,3,-5.90%,4.97%,-15.83%,-34.26%,5.33%,5.85%,15.10%,28.59%,18.52%,29.46%,2.06,1.97,0.36,10.33,1.33%,,19.70%,6.97%,-10.26%,Industrials,Staffing & Employment Services
IART,Integra LifeSciences Holdings Corporation,1893592290,1995-08-16,14.48%,-20.67%,0.77%,6.08%,,-46.82%,0.85%,8,-49.46%,-19.43%,5.29%,6.38%,1.84%,11.99%,-0.20%,,3.30%,4.59%,1.21,0.58,10.60,1.25,-0.34%,6.93%,17.89%,-68.54%,1.45%,Healthcare,Medical Devices
WPRT,Westport Fuel Systems Inc.,77692050,1995-08-22,243.79%,,1.52%,-1.34%,12.78%,,0.57%,3,,,-1.20%,-14.10%,-9.84%,-2.84%,-7.70%,-14.84%,,-13.87%,1.60,0.94,,-3.53,0.97%,7.87%,-8.17%,,-2.57%,Consumer Discretionary,Auto Parts
IVZ,Invesco Ltd.,8107897600,1995-08-24,3.43%,,0.90%,6.05%,,,-4.51%,14,-1.41%,15.16%,-0.86%,-7.14%,-9.43%,-4.44%,-2.30%,-2.50%,1.02%,2.48%,,,,,-1.57%,,-12.01%,72.47%,2.45%,Financials,Asset Management
BANR,Banner Corporation,2593728930,1995-08-24,-17.95%,2.42%,1.86%,4.01%,,-4.62%,-1.44%,6,-6.87%,,-1.41%,-0.59%,34.50%,38.05%,1.00%,6.98%,1.12%,7.63%,,,2.54,,6.67%,,6.93%,-2.95%,-5.08%,Financials,Banks - Regional
ACGL,Arch Capital Group Ltd.,37895094240,1995-09-13,17.84%,24.39%,20.87%,12.18%,,29.36%,21.89%,16,28.89%,28.14%,2.91%,0.03%,29.37%,31.00%,8.70%,22.95%,4.70%,13.29%,,,0.52,,-4.62%,,0.04%,33.81%,32.50%,Financials,Insurance - Diversified
SMSI,"Smith Micro Software, Inc.",15331603,1995-09-18,481.40%,,-8.85%,62.34%,20.05%,,-24.49%,1,,,-15.87%,-22.49%,-209.39%,-178.70%,-85.00%,-124.46%,-10.00%,-10.23%,1.00,0.77,,-12.60,0.71%,62.85%,-56.06%,,-44.64%,Technology,Software - Application
MD,"Pediatrix Medical Group, Inc.",1270172595,1995-09-19,-0.27%,,14.40%,-2.77%,,,3.14%,6,131.35%,-20.67%,-19.55%,-13.74%,-10.39%,-9.86%,-12.00%,-14.73%,-9.42%,5.29%,1.42,1.36,,1.07,-0.98%,,-3.29%,-13.67%,-0.25%,Healthcare,Medical Care Facilities
CLB,Core Laboratories Inc.,958721042,1995-09-20,-16.46%,-8.83%,-5.25%,5.11%,4.10%,2.68%,4.45%,4,89.82%,-11.70%,-12.15%,-8.49%,11.28%,14.00%,4.40%,7.75%,1.98%,4.87%,2.48,1.46,2.66,3.48,3.54%,,-14.67%,331.86%,2.68%,Energy,Oil & Gas Equipment & Services
ERIE,Erie Indemnity Company,20370316882,1995-10-02,,11.85%,8.47%,11.41%,,25.57%,12.26%,,12.21%,12.70%,,,17.25%,19.12%,21.10%,25.89%,15.32%,21.42%,1.36,1.25,,17.07,3.96%,,,71.62%,17.03%,Financials,Insurance Brokers
EG,"Everest Group, Ltd.",16694177598,1995-10-02,10.89%,66.74%,15.86%,5.65%,,29.44%,12.32%,9,14.34%,27.31%,39.82%,21.02%,16.32%,16.31%,5.30%,15.67%,3.28%,9.68%,,,1.27,,-1.58%,,9.79%,14.13%,14.97%,Financials,Insurance - Reinsurance
MYGN,"Myriad Genetics, Inc.",1492977280,1995-10-05,63.74%,,-0.28%,5.60%,7.51%,,6.37%,12,,,-13.80%,15.24%,-14.06%,-5.18%,-10.50%,-13.24%,-9.36%,-13.00%,1.90,1.46,,2.21,-0.07%,12.32%,-28.95%,,12.15%,Healthcare,Diagnostics & Research
ELLO,Ellomay Capital Ltd.,207650219,1995-10-06,,,16.14%,,,,18.37%,,,,20.84%,11.68%,-8.40%,54.56%,-0.70%,-0.63%,0.04%,1.07%,0.87,0.99,19.65,0.30,-2.80%,10.44%,3.77%,,-10.85%,Utilities,Utilities - Renewable
THG,"The Hanover Insurance Group, Inc.",5919190191,1995-10-10,5.35%,2.23%,5.47%,4.66%,,-2.89%,6.32%,6,-3.30%,6.31%,3.26%,0.11%,8.26%,8.32%,2.50%,10.70%,2.06%,8.15%,,,1.52,,1.80%,,0.11%,48.98%,4.01%,Financials,Insurance - Property & Casualty
DHIL,"Diamond Hill Investment Group, Inc.",450158761,1995-10-10,,-8.86%,1.53%,,,-19.69%,-5.76%,,11.01%,-3.65%,,,24.05%,46.67%,22.10%,15.00%,18.68%,22.52%,,,0.09,,11.93%,,,38.05%,5.76%,Financials,Asset Management
POOL,Pool Corporation,14340454065,1995-10-12,-2.08%,13.25%,11.00%,3.90%,,-6.55%,1.46%,9,18.51%,15.01%,11.32%,28.32%,11.94%,11.79%,12.60%,18.27%,19.80%,25.95%,2.40,0.71,1.97,7.30,2.55%,,-7.01%,-35.11%,-5.47%,Industrials,Industrial Distribution
RICK,"RCI Hospitality Holdings, Inc.",468180462,1995-10-12,86.81%,-8.69%,11.01%,7.02%,,-15.85%,20.74%,1,-2.87%,21.87%,13.93%,22.33%,7.03%,13.50%,0.80%,3.97%,5.34%,7.86%,0.90,0.73,7.00,1.92,-0.07%,,-0.48%,-15.42%,2.66%,Consumer Discretionary,Restaurants
BAP,Credicorp Ltd.,14762138691,1995-10-25,2.19%,79.81%,59.97%,7.30%,,39.89%,42.16%,3,,20.44%,80.05%,30.48%,40.90%,44.32%,2.10%,6.98%,1.60%,4.82%,,,5.15,,11.28%,,16.34%,,5.91%,Financials,Banks - Regional
DVA,DaVita Inc.,13698100000,1995-10-31,-7.68%,3.85%,2.29%,3.56%,4.56%,2.34%,3.03%,5,5.40%,8.25%,1.74%,0.43%,14.95%,17.96%,4.80%,11.31%,4.32%,9.34%,1.37,1.29,5.36,1.73,2.16%,,9.60%,7.71%,6.34%,Healthcare,Medical Care Facilities
OPK,"OPKO Health, Inc.",1078323140,1995-11-02,78.57%,,-4.58%,0.50%,,,-27.52%,3,,,14.78%,28.17%,-26.42%,2.66%,-6.50%,-9.86%,-7.28%,-6.65%,2.98,2.42,26.52,-0.11,2.23%,13.24%,73.59%,,-17.94%,Healthcare,Diagnostics & Research
HSIC,"Henry Schein, Inc.",9634100870,1995-11-03,2.39%,-5.78%,5.01%,3.85%,7.25%,-15.33%,0.71%,9,-18.52%,-7.73%,17.44%,38.67%,4.04%,6.61%,3.00%,5.93%,6.68%,11.50%,1.42,0.61,3.62,3.01,0.78%,,30.83%,-33.39%,-1.53%,Healthcare,Medical Distribution
MLSS,Milestone Scientific Inc.,79449942,1995-11-03,26.26%,,-2.04%,18.88%,,,-2.81%,1,,,41.57%,-19.92%,-75.41%,-52.13%,-40.20%,-88.86%,-60.16%,-97.49%,2.85,1.42,,-3.60,,9.22%,-26.15%,,-9.49%,Healthcare,Medical Instruments & Supplies
BLDP,Ballard Power Systems Inc.,440148870,1995-11-08,52.35%,,-0.32%,22.74%,43.88%,,-1.77%,11,,,6.73%,16.71%,-204.65%,-341.73%,-33.10%,-25.03%,-11.38%,-9.76%,9.01,8.10,,-1.25,0.16%,103.90%,49.83%,,23.19%,Industrials,Specialty Industrial Machinery
MATV,"Mativ Holdings, Inc.",732913872,1995-11-13,16.89%,-59.40%,13.84%,4.30%,,-74.97%,14.11%,1,19.49%,-9.66%,16.53%,-2.61%,0.08%,15.36%,4.10%,0.08%,1.06%,-0.73%,2.37,1.13,3.98,1.50,-0.83%,1.12%,-32.80%,-52.85%,-5.88%,Materials,Specialty Chemicals
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,16919823760,1995-11-14,,30.03%,40.64%,3.63%,,26.02%,27.95%,,17.77%,45.86%,36.09%,56.12%,28.97%,24.67%,8.70%,16.08%,8.62%,16.78%,0.78,0.58,1.79,2.77,5.72%,,1.56%,-30.34%,1.30%,Communication Services,Telecom Services
EL,The Estée Lauder Companies Inc.,26550015469,1995-11-16,30.00%,-17.90%,0.28%,3.99%,8.29%,-31.63%,-3.22%,21,-18.54%,-5.05%,10.43%,7.79%,5.89%,11.24%,0.90%,2.30%,7.16%,9.66%,1.32,0.79,5.76,2.80,2.13%,,-1.20%,61.19%,-0.30%,Consumer Staples,Household & Personal Products
WAT,Waters Corporation,22847961760,1995-11-16,-5.59%,3.65%,3.85%,5.55%,4.52%,-1.02%,2.02%,13,-0.69%,4.79%,5.74%,3.89%,27.48%,34.70%,13.80%,19.80%,20.10%,32.43%,2.02,1.23,1.89,9.14,3.20%,6.21%,-26.51%,58.94%,-3.01%,Healthcare,Diagnostics & Research
AEIS,"Advanced Energy Industries, Inc.",4316207067,1995-11-17,-1.12%,-20.57%,19.47%,12.01%,,-53.73%,0.97%,10,-19.28%,8.61%,7.76%,9.11%,1.11%,8.92%,1.70%,1.49%,7.50%,8.86%,4.62,3.14,5.05,4.49,-1.16%,13.91%,-35.49%,-43.00%,-15.47%,Industrials,Electrical Equipment & Parts
SAM,"The Boston Beer Company, Inc.",3622060455,1995-11-20,0.87%,-7.43%,11.30%,2.47%,4.26%,-4.83%,-2.62%,10,,8.39%,-2.71%,-15.48%,5.29%,10.00%,5.70%,6.80%,7.64%,9.28%,2.03,1.33,0.19,8.20,1.93%,,-19.58%,21.22%,-2.82%,Consumer Staples,Beverages - Brewers
NTAP,"NetApp, Inc.",25017616524,1995-11-21,10.85%,4.68%,2.35%,4.93%,,2.66%,2.28%,19,-6.27%,5.16%,3.94%,-8.88%,20.99%,26.53%,12.30%,38.16%,10.54%,31.22%,0.91,0.72,1.16,,4.17%,15.90%,-16.65%,33.50%,6.10%,Technology,Computer Hardware
FFIC,Flushing Financial Corporation,515682286,1995-11-21,-12.63%,-6.67%,3.73%,11.28%,,-28.86%,-7.61%,4,-29.28%,-15.23%,-9.55%,3.37%,18.25%,21.47%,0.30%,1.67%,0.66%,3.21%,,,21.44,,4.82%,,-14.61%,5.45%,4.54%,Financials,Banks - Regional
IVAC,"Intevac, Inc.",73097914,1995-11-21,,,-8.99%,,,,128.65%,1,,,-9.66%,-2.04%,-17.35%,-6.39%,-5.90%,-9.53%,1.00%,-8.27%,6.41,4.52,,2.19,4.14%,23.84%,202.18%,,28.52%,Industrials,Specialty Industrial Machinery
E,Eni S.p.A.,44888219589,1995-11-27,40.53%,-2.80%,12.59%,-1.45%,,-21.09%,-4.43%,6,31.22%,-0.74%,13.86%,4.80%,8.28%,18.14%,3.20%,4.45%,2.04%,4.28%,1.30,0.95,1.88,1.69,5.38%,,12.93%,-34.36%,-29.08%,Energy,Oil & Gas Integrated
NWPX,Northwest Pipe Company,554257515,1995-11-30,-19.74%,19.39%,12.79%,0.61%,1.61%,33.38%,17.19%,2,,0.13%,,66.11%,9.60%,13.43%,4.80%,6.47%,5.36%,5.96%,3.20,0.93,2.44,3.27,2.31%,,-1.17%,-48.00%,9.54%,Industrials,Metal Fabrication
NVAX,"Novavax, Inc.",1389604875,1995-12-05,104.47%,,123.22%,-28.30%,-2.34%,,-9.74%,6,,,-6.14%,-18.25%,-34.05%,-24.44%,-17.10%,,-48.10%,-179.01%,0.94,0.86,,-3.70,0.58%,51.00%,5.04%,,-15.68%,Healthcare,Biotechnology
ENLV,Enlivex Therapeutics Ltd.,24402840,1995-12-12,733.33%,,,,,,,2,,,,,,,-60.80%,-80.88%,-39.20%,-50.23%,10.06,9.45,,,,,,,,Healthcare,Biotechnology
SMID,Smith-Midland Corporation,256743124,1995-12-13,,25.38%,10.69%,,,4.43%,13.89%,,-23.11%,,1.86%,4.82%,11.22%,14.92%,10.10%,14.28%,5.58%,6.74%,2.78,2.20,0.46,8.53,2.69%,,-10.91%,,32.40%,Materials,Building Materials
TGTX,"TG Therapeutics, Inc.",5417142000,1995-12-14,16.87%,,344.85%,64.30%,41.38%,,291.70%,6,,,45.96%,113.32%,-0.19%,2.17%,-3.40%,-0.11%,-76.80%,-101.19%,4.59,3.66,44.00,5.95,0.18%,33.18%,132.94%,,39.53%,Healthcare,Biotechnology
SGU,"Star Group, L.P.",437426868,1995-12-14,,7.18%,0.51%,,,-4.72%,7.48%,,7.16%,1.51%,6.52%,1.80%,4.31%,6.65%,5.50%,10.03%,4.96%,11.40%,0.74,0.53,1.90,,1.25%,,-8.46%,-46.01%,-9.58%,Energy,Oil & Gas Refining & Marketing
ASX,"ASE Technology Holding Co., Ltd.",20827771200,1995-12-15,,10.88%,7.62%,14.78%,,-9.79%,2.84%,1,,,-1.54%,-3.52%,6.52%,,4.70%,6.15%,6.22%,8.24%,1.18,0.82,,,1.37%,4.60%,-3.04%,,-0.84%,Technology,Semiconductors
HIG,"The Hartford Financial Services Group, Inc.",35948803128,1995-12-20,-1.10%,10.28%,5.42%,7.74%,,10.89%,5.96%,17,10.92%,10.33%,-2.07%,-4.06%,15.06%,16.58%,3.80%,14.93%,2.86%,11.09%,,,1.01,,2.67%,,0.09%,56.26%,7.92%,Financials,Insurance - Property & Casualty
MSM,"MSC Industrial Direct Co., Inc.",4803804941,1995-12-20,1.54%,-0.49%,2.58%,4.68%,4.66%,8.26%,5.62%,5,22.17%,2.39%,5.16%,-12.09%,10.22%,12.48%,10.40%,14.91%,11.24%,14.74%,1.96,0.73,1.19,5.31,2.27%,,8.97%,-48.72%,-4.70%,Industrials,Industrial Distribution
ASTC,Astrotech Corporation,12677889,1995-12-20,,,68.04%,,,,49.50%,,,,-41.08%,-35.07%,-1066.22%,-869.84%,-31.00%,-42.05%,-47.02%,-53.14%,14.86,13.35,,-6.67,0.16%,539.43%,-60.00%,,11.96%,Technology,Scientific & Technical Instruments
BYFC,Broadway Financial Corporation,62875312,1996-01-09,,,24.53%,,,,19.89%,,-36.88%,-18.31%,37.48%,36.12%,13.44%,15.54%,0.20%,0.47%,,-0.15%,,,73.00,,4.21%,,43.54%,40.48%,12.30%,Financials,Banks - Regional
TTNP,"Titan Pharmaceuticals, Inc.",3528943,1996-01-18,,,-75.28%,,,,-89.63%,,,,,,-178225.00%,-134925.00%,-75.10%,-178.49%,-142.82%,-247.35%,12.22,11.60,,-124.19,,22775.00%,,,-98.99%,Healthcare,Biotechnology
NICE,NICE Ltd.,11469838604,1996-01-24,42.83%,17.31%,11.15%,11.06%,,24.90%,12.74%,14,14.08%,15.51%,-0.90%,-7.26%,19.50%,26.99%,8.30%,9.54%,5.44%,6.60%,1.66,1.51,0.80,,4.89%,13.16%,-23.70%,42.30%,13.52%,Technology,Software - Application
IRM,Iron Mountain Incorporated,36561565134,1996-01-31,5.24%,3.11%,7.13%,10.05%,,-4.01%,10.89%,6,,,9.09%,11.88%,15.99%,28.51%,0.60%,4.13%,2.46%,5.92%,0.75,0.61,9.27,1.28,0.86%,,11.92%,,12.15%,Real Estate,REIT - Specialty
IRIX,IRIDEX Corporation,29945518,1996-02-15,11.73%,,2.34%,5.44%,,,-1.68%,1,,,6.76%,19.28%,-22.47%,-18.75%,-34.00%,-144.50%,-19.68%,-43.09%,1.54,0.73,,-2.64,0.28%,12.45%,69.48%,,-11.31%,Healthcare,Medical Devices
CMCO,Columbus McKinnon Corporation,1121775090,1996-02-22,31.08%,0.18%,3.23%,5.13%,,12.60%,8.24%,2,-8.46%,-11.62%,13.03%,3.37%,8.42%,11.33%,0.80%,4.55%,2.70%,5.93%,2.04,0.99,4.41,1.90,0.49%,2.60%,-11.37%,-29.43%,2.41%,Industrials,Farm & Heavy Construction Machinery
LPTH,"LightPath Technologies, Inc.",65843734,1996-02-22,80.72%,,-0.43%,16.88%,,,-5.57%,2,,,8.37%,-5.46%,-24.81%,-11.66%,-16.60%,-18.83%,-6.94%,-6.74%,1.73,0.97,,-3.91,0.14%,6.98%,0.31%,,-4.74%,Technology,Electronic Components
FKWL,Franklin Wireless Corp.,49494060,1996-02-23,,,1.49%,,,,-34.90%,,,,2.82%,33.29%,-16.62%,-13.25%,-6.40%,-15.29%,3.12%,6.12%,3.46,3.24,,3.92,-2.47%,10.34%,1948.51%,,-27.44%,Technology,Communication Equipment
CSGS,"CSG Systems International, Inc.",1595152741,1996-02-28,12.39%,-1.91%,3.55%,2.89%,3.35%,-1.75%,4.51%,5,-1.81%,-4.07%,4.81%,6.42%,9.66%,16.34%,4.80%,9.70%,5.04%,9.31%,1.58,0.96,3.00,3.26,1.96%,12.90%,-5.72%,42.50%,1.39%,Technology,Software - Infrastructure
SPH,"Suburban Propane Partners, L.P.",1265494916,1996-02-29,-0.61%,5.51%,0.86%,1.22%,,1.21%,2.57%,3,-12.29%,-7.15%,1.67%,2.04%,14.90%,18.14%,4.30%,10.04%,4.84%,10.59%,0.65,0.31,5.60,,0.06%,,-0.06%,-24.31%,-6.60%,Utilities,Utilities - Regulated Gas
SGRP,"SPAR Group, Inc.",52292829,1996-02-29,,-11.48%,-1.66%,-16.91%,,-16.56%,-3.55%,,54.76%,-4.18%,4.07%,7.56%,2.59%,8.29%,14.70%,10.39%,1.76%,-4.53%,1.77,1.68,1.11,5.90,0.72%,,-5.32%,,-12.74%,Industrials,Specialty Business Services
IAG,IAMGOLD Corporation,3129204960,1996-03-08,35.41%,,6.90%,39.29%,,123.87%,6.64%,6,,,18.40%,21.22%,56.07%,73.31%,14.70%,17.23%,-2.14%,-3.36%,0.89,0.58,0.88,1.58,6.59%,1.34%,-2.47%,,62.90%,Materials,Gold
HUBG,"Hub Group, Inc.",3114761748,1996-03-13,-9.31%,-3.11%,0.89%,6.58%,7.64%,-3.14%,0.25%,12,25.15%,18.86%,9.54%,20.03%,3.49%,8.61%,3.80%,5.25%,7.14%,9.92%,1.30,1.24,1.54,4.19,0.61%,,-5.34%,-20.31%,-12.11%,Industrials,Integrated Freight & Logistics
IDT,IDT Corporation,1298740865,1996-03-15,,,-3.07%,,,4.14%,-5.90%,,5.94%,-2.26%,,-34.57%,5.34%,6.11%,12.30%,28.83%,10.44%,31.08%,1.51,1.25,0.02,5.79,-0.53%,4.22%,-46.79%,84.17%,-2.67%,Communication Services,Telecom Services
CENX,Century Aluminum Company,2138084352,1996-03-28,-8.02%,,2.17%,12.05%,,253.15%,2.66%,2,,,8.77%,5.64%,4.82%,21.68%,16.50%,8.64%,-5.74%,0.35%,1.71,0.51,1.07,1.71,0.46%,,-5.10%,,-4.60%,Materials,Aluminum
